numero,x_utm,y_utm,h,lnk,contadores
1792,4646.464646,858.5858586,0.252,-1.053285257,0
490,4545.454545,202.020202,0.262,0.11270349,0
9982,4141.414141,5000,0.268,-1.326404127,0
1191,4595.959596,555.5555556,0.277,0.421928834,0
8689,4494.949495,4343.434343,0.284,-3.376612092,0
9980,4040.40404,5000,0.29,-1.344308244,0
6891,4595.959596,3434.343434,0.297,-0.162801322,0
9480,4040.40404,4747.474747,0.302,-1.565086155,0
9081,4090.909091,4545.454545,0.303,-1.00100475,0
8688,4444.444444,4343.434343,0.304,-3.922174356,0
6991,4595.959596,3484.848485,0.314,-0.372397904,0
788,4444.444444,353.5353535,0.319,-1.527811844,0
1188,4444.444444,555.5555556,0.329,-0.001200721,0
5789,4494.949495,2878.787879,0.337,-0.704410373,0
8979,3989.89899,4494.949495,0.343,-2.329894627,0
6789,4494.949495,3383.838384,0.349,0.003095205,0
9177,3888.888889,4595.959596,0.355,-2.16221464,0
7792,4646.464646,3888.888889,0.366,-4.061219312,0
5589,4494.949495,2777.777778,0.376,-2.714606648,0
4792,4646.464646,2373.737374,0.386,-4.811100243,0
8679,3989.89899,4343.434343,0.409,-3.915880436,0
7388,4444.444444,3686.868687,0.444,1.104494952,0
8383,4191.919192,4191.919192,0.457,-4.601676297,0
8975,3787.878788,4494.949495,0.469,-3.76110612,0
9271,3585.858586,4646.464646,0.516,-1.749504901,0
9668,3434.343434,4848.484848,0.564,-2.810199212,0
2192,4646.464646,1060.606061,0.603,-3.764206631,0
3498,4949.494949,1717.171717,0.646,-6.546311723,0
279,3989.89899,101.010101,0.702,-0.76129755,0
7581,4090.909091,3787.878788,0.77,-1.697013085,0
9564,3232.323232,4797.979798,0.838,-2.984594529,0
8078,3939.393939,4040.40404,0.913,-4.529413574,0
8673,3686.868687,4343.434343,1.02,-4.089894479,0
9762,3131.313131,4898.989899,1.133,-4.457871499,0
8768,3434.343434,4393.939394,1.149,-3.433989204,0
1379,3989.89899,656.5656566,1.247,-1.794082165,0
7379,3989.89899,3686.868687,1.302,-2.204914066,0
7676,3838.383838,3838.383838,1.384,-3.629290663,0
8667,3383.838384,4343.434343,1.428,-3.86389973,0
7672,3636.363636,3838.383838,1.454,-2.078082466,0
2082,4141.414141,1010.10101,1.549,-4.147492206,0
1276,3838.383838,606.0606061,1.626,-4.799993566,0
6777,3888.888889,3383.838384,1.825,0.766676414,0
5382,4141.414141,2676.767677,1.979,-5.343105549,0
8064,3232.323232,4040.40404,2.172,-2.806898633,0
2181,4090.909091,1060.606061,2.355,-2.904393606,0
1675,3787.878788,808.0808081,2.474,-3.732288125,0
1775,3787.878788,858.5858586,2.695,-4.155114195,0
8759,2979.79798,4393.939394,3.022,-3.779592218,0
1172,3636.363636,555.5555556,3.33,-6.157897007,0
1874,3737.373737,909.0909091,3.72,-4.968294454,0
3389,4494.949495,1666.666667,4.076,-4.114812611,0
171,3585.858586,50.50505051,4.343,-3.355096545,0
3789,4494.949495,1868.686869,4.616,-4.230095559,0
8355,2777.777778,4191.919192,4.931,-5.481999849,0
4087,4393.939394,2020.20202,5.147,-7.394392482,0
2377,3888.888889,1161.616162,5.544,-3.858197919,0
4882,4141.414141,2424.242424,5.858,-4.732799033,0
9153,2676.767677,4595.959596,6.014,-6.067395719,0
3782,4141.414141,1868.686869,6.148,-4.696803135,0
6561,3080.808081,3282.828283,6.286,-1.88598224,0
3679,3989.89899,1818.181818,6.464,-1.689780665,0
5962,3131.313131,2979.79798,6.663,-0.549497154,0
5468,3434.343434,2727.272727,6.831,-2.346004207,0
4371,3585.858586,2171.717172,7.106,-1.013793313,0
3268,3434.343434,1616.161616,7.511,-1.945890149,0
3065,3282.828283,1515.151515,7.747,-1.981806793,0
6755,2777.777778,3383.838384,8.095,-3.817986364,0
8147,2373.737374,4090.909091,8.353,-3.567299193,0
2456,2828.282828,1212.121212,8.537,-1.243302857,0
1948,2424.242424,959.5959596,8.777,-2.614505215,0
6938,1919.191919,3484.848485,9.018,0.366169726,0
1238,1919.191919,606.0606061,9.192,-0.1342974,0
4949,2474.747475,2474.747475,9.346,2.640128185,0
